platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Wii U,Retro Road Rumble,Sketchy Coyote Interactive LLC,Sketchy Coyote Interactive LLC,"Oct 20, 2016","Action, Racing / Driving",Top-down,Fixed / flip-screen,,Arcade,,,0,,[20.0],1,20.0
Wii U,Revenant Saga,Kemco,EXE-CREATE Ltd.,"Jul 06, 2017",Role-playing (RPG),Diagonal-down,2D scrolling,Anime / Manga,Japanese-style RPG (JRPG),,,0,,,0,
Wii U,Rhythm Heaven Fever,Nintendo of America Inc.,Nintendo SPD,"Nov 10, 2016",Action,3rd-person (Other),,,Music / rhythm,,,0,,,0,
Wii U,Rival Turf,HAMSTER Corporation,Jaleco Ltd.,"May 28, 2015",Action,Side view,2D scrolling,,"Arcade, Beat 'em up / brawler",,,0,,,0,
Wii U,River City Ransom,"Arc System Works Co., Ltd.",Technos Japan Corp.,"Oct 01, 2015",Action,Side view,2D scrolling,,"Beat 'em up / brawler, RPG elements",,,0,,,0,
Wii U,The Rivers of Alice: Extended Version,Delirium Studios Evolution S.L.,Delirium Studios Evolution S.L.,"Oct 01, 2015",Adventure,3rd-person (Other),,,"Graphic adventure, Puzzle elements",,,0,,[70.0],1,70.0
Wii U,Road Fighter,"Konami Digital Entertainment Co., Ltd.",Konami Industry Co. Ltd.,"Jun 19, 2014",Racing / Driving,Top-down,,,Arcade,,,0,,,0,
Wii U,Rockman EXE 4.5 Real Operation,"Capcom Co., Ltd.",Capcom Production Studio 2,"Jan 13, 2016",Role-playing (RPG),3rd-person (Other),Isometric,Anime / Manga,"Puzzle elements, Shooter",,,0,,,0,
Wii U,Rock 'N Racing Off Road,EnjoyUp Games S.L.,EnjoyUp Games S.L.,"Jan 19, 2015",Racing / Driving,Diagonal-down,Fixed / flip-screen,,,,,0,,"[50.0, 30.0]",2,40.0
Wii U,Rock 'N Racing Off Road DX,EnjoyUp Games S.L.,EnjoyUp Games S.L.,"Sep 17, 2015",Racing / Driving,Diagonal-down,Fixed / flip-screen,,,,,0,,[30.0],1,30.0
Wii U,Rock Zombie,EnjoyUp Games S.L.,Quaternion Studio,"Oct 30, 2014",Action,Side view,2D scrolling,,Beat 'em up / brawler,,,0,,"[60.0, 50.0, 40.0]",3,50.0
Wii U,Rodea the Sky Soldier,"NIS America, Inc.","PROPE, Ltd.","Nov 10, 2015",Action,Behind view,,Anime / Manga,,,,0,,"[60.0, 60.0, 40.0, 38.0]",4,49.5
Wii U,Rodea the Sky Soldier (Limited Edition),"NIS America, Inc.","Kadokawa Games, Ltd., PROPE, Ltd.","Nov 13, 2015",Special edition,,,,,,,0,,,0,
Wii U,Romance of the Three Kingdoms IV: Wall of Fire,Tecmo Koei America Corp.,"KOEI Co., Ltd.","Aug 08, 2013",Strategy,Top-down,Isometric,,,,,0,,,0,
Wii U,Romancing SaGa,"Square Enix Co., Ltd.","Square Co., Ltd.","Dec 18, 2013",Role-playing (RPG),Top-down,,,,,,0,,,0,
Wii U,Romancing SaGa 2,"Square Enix Co., Ltd.","Square Co., Ltd.","Jan 22, 2014",Role-playing (RPG),Top-down,,,,,,0,,,0,
Wii U,Romancing SaGa 3,"Square Enix Co., Ltd.","Square Co., Ltd.","Feb 26, 2014",Role-playing (RPG),Top-down,,,,,,0,,,0,
Wii U,Rorrim,Nitrolic Games,Nitrolic Games,"Sep 08, 2016",Action,Diagonal-down,,Anime / Manga,Puzzle elements,,,0,,[40.0],1,40.0
Wii U,Roving Rogue,PadaOne Games S.L.,PadaOne Games S.L.,"Jul 02, 2015",Action,Side view,2D scrolling,,Platform,,,0,,"[50.0, 50.0]",2,50.0
Wii U,RTO,nuGAME,nuGAME,"Dec 07, 2017",Action,1st-person,2D scrolling,,"Shooter, Survival horror",,,0,,,0,
Wii U,RTO 2,nuGAME,nuGAME,"Mar 01, 2018",Action,1st-person,,,Shooter,,,0,,,0,
Wii U,RTO 3,nuGAME,nuGAME,"Dec 16, 2021",Action,1st-person,,,Shooter,,,0,,,0,
Wii U,R-Type,"Konami Digital Entertainment, Inc.",Irem Corp.,"Jul 14, 2016",Action,Side view,2D scrolling,,"Arcade, Shooter",,,0,,,0,
Wii U,R-Type I,"Konami Digital Entertainment Co., Ltd.",Irem Corp.,"Apr 30, 2014",Action,Side view,2D scrolling,,"Arcade, Shooter",,,0,,[90.0],1,90.0
Wii U,Rubik's Cube,Cypronia s.r.o.,Cypronia s.r.o.,"Jun 23, 2016",Puzzle,Diagonal-down,,,Tile matching puzzle,,,0,,,0,
