platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Gamecube,Cocoto: Kart Racer,Bigben Interactive UK Ltd.,Neko Entertainment SARL,"Apr 22, 2005",Racing / Driving,Behind view,,,Arcade,,,0,,,0,
Gamecube,Cocoto: Platform Jumper,Bigben Interactive GmbH,Neko Entertainment SARL,"Dec 10, 2004",Action,3rd-person (Other),,,Platform,,,0,,[60.0],1,60.0
Gamecube,Codename: Kids Next Door - Operation: V.I.D.E.O.G.A.M.E.,Global Star Software Inc.,"High Voltage Software, Inc.","Oct 11, 2005",Action,3rd-person (Other),,,Puzzle elements,,,0,,"[86.0, 80.0, 60.0, 40.0, 30.0]",5,59.2
Gamecube,Conan,TDK Recording Media Europe S.A.,Cauldron Ltd.,"Apr 30, 2004",Action,Behind view,,,Hack and slash,,,0,,"[79.0, 73.0, 40.0, 35.0]",4,56.75
Gamecube,Conflict: Desert Storm,Gotham Games,Pivotal Games Ltd.,"Apr 22, 2003",Action,"1st-person, Behind view",,,Shooter,,,0,,"[90.0, 90.0, 88.0, 80.0, 80.0, 80.0, 80.0, 65.0, 60.0, 51.0]",10,76.4
Gamecube,Conflict: Desert Storm II - Back to Baghdad,Gotham Games,Pivotal Games Ltd.,"Jan 06, 2004",Action,Behind view,,,Shooter,,,0,,"[89.0, 85.0, 80.0, 79.0, 75.0, 70.0, 70.0, 67.0, 65.0, 60.0]",10,74.0
Gamecube,Crash Bandicoot: The Wrath of Cortex,Universal Interactive Inc.,Traveller's Tales (UK) Ltd.,"Sep 17, 2002",Action,3rd-person (Other),,,Platform,,,0,,"[89.0, 80.0, 75.0, 70.0, 69.0, 68.0, 65.0, 55.0, 53.0, 51.0]",10,67.5
Gamecube,Crash Nitro Kart,"Universal Interactive Inc., Vivendi Universal Games, Inc.","Vicarious Visions, Inc.","Nov 11, 2003",Racing / Driving,Behind view,,,,,,0,,"[82.0, 76.0, 75.0, 74.0, 74.0, 65.0, 45.0]",7,70.14285714285714
Gamecube,Crash Tag Team Racing,"Vivendi Universal Games, Inc.",Radical Entertainment Inc.,"Oct 19, 2005","Action, Racing / Driving",Behind view,,,,,,0,,"[79.0, 75.0, 73.0, 70.0, 70.0, 60.0, 50.0, 47.0, 40.0]",9,62.666666666666664
Gamecube,Crazy Taxi,"Acclaim Entertainment, Inc.",Hitmaker,"Nov 18, 2001",Racing / Driving,Behind view,,,Arcade,,[2.2],1,2.2,"[85.0, 80.0, 75.0, 75.0, 70.0, 65.0, 60.0, 60.0, 50.0, 49.0]",10,66.9
Gamecube,Cubivore: Survival of the Fittest,"Atlus U.S.A., Inc.",Saru Brunei,"Nov 08, 2002","Action, Simulation",3rd-person (Other),,,,,[3.83],1,3.83,"[91.0, 82.0, 81.0, 80.0, 80.0, 78.0, 67.0, 64.0, 60.0, 50.0]",10,73.3
Gamecube,Cubix: Robots for Everyone - Showdown,"3DO Company, The",Blitz Games Ltd,"Jun, 2003",Action,3rd-person (Other),,,Puzzle elements,,,0,,,0,
Gamecube,Curious George,Namco Hometek Inc.,Monkey Bar Games,"Feb 01, 2006",Action,3rd-person (Other),,,Platform,,,0,,,0,
Gamecube,Custom Robo,Nintendo of America Inc.,"Noise, Inc., StudioFAKE Co., Ltd.","May 10, 2004","Action, Role-playing (RPG), Simulation",3rd-person (Other),,,,,,0,,"[80.0, 80.0, 75.0, 75.0, 71.0, 70.0, 70.0, 65.0, 63.0, 30.0]",10,67.9
Gamecube,Dakar 2: The World's Ultimate Rally,"Acclaim Entertainment, Inc.",Acclaim Studios Cheltenham,"Mar, 2003",Racing / Driving,"1st-person, Behind view",,,,,,0,,"[90.0, 77.0, 73.0, 70.0, 65.0, 62.0, 55.0, 50.0, 45.0]",9,65.22222222222223
Gamecube,Dance Dance Revolution: Mario Mix,Nintendo of America Inc.,"Konami Computer Entertainment Tokyo, Inc.","Oct 24, 2005",Action,3rd-person (Other),Fixed / flip-screen,,"Mini-games, Music / rhythm",,,0,,"[91.0, 90.0, 80.0, 80.0, 80.0, 70.0, 60.0, 55.0, 52.0, 50.0]",10,70.8
Gamecube,Darkened Skye,Simon & Schuster Interactive,Boston Animation Ltd.,"Nov 15, 2002",Action,Behind view,,,Puzzle elements,,,0,,"[78.0, 74.0, 66.0, 65.0, 65.0, 65.0, 63.0, 60.0, 40.0, 40.0]",10,61.6
Gamecube,Dark Summit,THQ Inc.,Radical Entertainment Inc.,"Feb 05, 2002",Sports,Behind view,,,Tricks / stunts,,[3.67],1,3.67,"[90.0, 80.0, 78.0, 78.0, 75.0, 74.0, 72.0, 70.0, 70.0, 51.0]",10,73.8
Gamecube,Dave Mirra Freestyle BMX 2,"Acclaim Entertainment, Inc.","Z-Axis, Ltd.","Nov 18, 2001",Sports,Behind view,,,Tricks / stunts,,,0,,"[91.0, 90.0, 88.0, 85.0, 80.0, 78.0, 75.0, 70.0, 65.0, 60.0]",10,78.2
Gamecube,Dead to Rights,Namco Hometek Inc.,Namco Hometek Inc.,"Nov 25, 2002",Action,Behind view,,,"Mini-games, Shooter",,,0,,"[82.0, 81.0, 80.0, 80.0, 77.0, 75.0, 75.0, 75.0, 68.0, 60.0]",10,75.3
Gamecube,Defender,"Midway Home Entertainment, Inc.","7 Studios, Inc.","Nov 10, 2002",Action,Behind view,,,"Arcade, Shooter",,,0,,"[88.0, 83.0, 74.0, 71.0, 70.0, 70.0, 70.0, 70.0, 69.0, 60.0]",10,72.5
Gamecube,Def Jam: Fight for NY,"Electronic Arts, Inc.","Electronic Arts Canada, AKI Corporation","Sep 20, 2004",Action,Side view,2D scrolling,,Fighting,,,0,,"[93.0, 90.0, 90.0, 90.0, 90.0, 87.0, 87.0, 87.0, 85.0, 83.0]",10,88.2
Gamecube,Def Jam: Vendetta,"Electronic Arts, Inc.","Electronic Arts Canada, AKI Corporation","Apr 02, 2003","Action, Sports",3rd-person (Other),,,Fighting,,,0,,"[90.0, 89.0, 89.0, 85.0, 84.0, 78.0, 74.0, 70.0, 67.0, 60.0]",10,78.6
Gamecube,Die Hard: Vendetta,"Fox Interactive, Inc., Sierra Entertainment, Inc.",Bits Studios Ltd.,"Nov 18, 2002",Action,1st-person,,,Shooter,,[3.86],1,3.86,"[89.0, 80.0, 69.0, 63.0, 60.0, 50.0, 48.0, 40.0, 40.0, 40.0]",10,57.9
Gamecube,Digimon Rumble Arena 2,"Bandai America, Inc.",Black Ship Games,"Sep, 2004",Action,3rd-person (Other),,Anime / Manga,"Fighting, Platform",,[1.4],1,1.4,"[80.0, 78.0, 70.0, 70.0, 63.0, 30.0]",6,65.16666666666667
Gamecube,Digimon World 4,"Bandai Co., Ltd.","BEC Co., Ltd.","Jan 06, 2005",Role-playing (RPG),3rd-person (Other),,Anime / Manga,Action RPG,,,0,,"[55.0, 43.0]",2,49.0
Gamecube,Dinotopia: The Sunstone Odyssey,"TDK Mediactive, Inc.","Vicious Cycle Software, Inc.","Jul, 2003",Action,Behind view,,,,,,0,,"[59.0, 50.0, 47.0, 47.0]",4,50.75
Gamecube,Disney•Pixar Cars,THQ Inc.,"Rainbow Studios, Inc.","Jun 06, 2006",Racing / Driving,"1st-person, Behind view",,,,,,0,,"[80.0, 80.0, 76.0, 72.0, 71.0, 70.0, 70.0, 70.0, 65.0, 65.0]",10,71.9
Gamecube,Disney•Pixar Finding Nemo,THQ Inc.,Traveller's Tales (UK) Ltd.,"May 12, 2003",Action,3rd-person (Other),,,,,,0,,"[78.0, 69.0, 68.0, 67.0, 66.0, 65.0, 60.0, 60.0, 43.0, 35.0]",10,61.1
Gamecube,"Disney/Pixar Finding Nemo / Disney presents a Pixar film, The Incredibles: Double Pack",THQ Inc.,,2006,Compilation,,,,,,,0,,,0,
Gamecube,"Disney•Pixar Monsters, Inc.: Scream Arena",THQ Inc.,Radical Entertainment Inc.,"Sep, 2002",Action,3rd-person (Other),,,,,,0,,"[68.0, 40.0, 30.0, 25.0, 16.0]",5,35.8
Gamecube,Disney•Pixar Ratatouille,THQ Inc.,Asobo Studio S.A.R.L.,"Jun 26, 2007",Action,3rd-person (Other),,,Platform,,,0,,"[65.0, 60.0, 60.0, 60.0, 55.0, 55.0]",6,59.166666666666664
Gamecube,Disney's Chicken Little,"Buena Vista Games, Inc.",Avalanche Software LLC,"Oct 20, 2005",Action,3rd-person (Other),,,"Arcade, Puzzle elements",,,0,,"[74.0, 70.0, 70.0, 70.0, 70.0, 70.0, 60.0, 55.0]",8,67.375
Gamecube,Disney's Donald Duck: Goin' Quackers,Ubi Soft Entertainment Software,Ubi Soft Entertainment Inc.,"Mar 26, 2002",Action,"3rd-person (Other), Behind view, Side view",2D scrolling,,Platform,,[0.83],1,0.83,"[75.0, 74.0, 73.0, 70.0, 70.0, 62.0, 62.0, 57.0, 52.0, 32.0]",10,62.7
Gamecube,Disney's Extreme Skate Adventure,"Activision Publishing, Inc.",Toys for Bob Inc.,"Sep 03, 2003",Sports,3rd-person (Other),,,,,,0,,"[91.0, 83.0, 83.0, 83.0, 80.0, 80.0, 78.0, 76.0, 75.0, 70.0]",10,79.9
Gamecube,Disney's Hide & Sneak,"Capcom Entertainment, Inc.","Capcom Co., Ltd.","Nov, 2003","Action, Puzzle",3rd-person (Other),,,Stealth,,,0,,"[48.0, 41.0, 40.0, 40.0, 30.0, 25.0, 23.0]",7,35.285714285714285
Gamecube,Disney's Magical Mirror Starring Mickey Mouse,Nintendo of America Inc.,"Capcom Co., Ltd.","Aug 13, 2002",Adventure,3rd-person (Other),,,Puzzle elements,,,0,,"[80.0, 80.0, 75.0, 70.0, 51.0, 48.0, 46.0, 40.0, 32.0, 30.0]",10,55.2
Gamecube,Disney's Party,"Electronic Arts, Inc.","Neverland Co., Ltd.","Sep 17, 2003",Action,3rd-person (Other),,,"Board game, Mini-games",,,0,,"[71.0, 56.0, 53.0, 52.0, 41.0, 30.0, 25.0]",7,46.857142857142854
