platform,title,published by,developed by,released,genre,perspective,visual,art,gameplay,interface,userReviews,userReviewCount,averageUserReview,criticReviews,criticReviewCount,averageCriticReview
Switch,Mahjong Solitaire Refresh,Sunsoft,Nightmare Project Team,"Dec 13, 2018",Puzzle,1st-person,,,"Cards / tiles, Tile matching puzzle",,,0,,,0,
Switch,Mahjong Solitaire Refresh: Ex Panels,Sunsoft,,"Dec 13, 2018",DLC / Add-on,,,,,,,0,,,0,
Switch,Mahjong Stories: Vampire Romance,JetDogs Studios Oy,JetDogs Studios Oy,"Mar 05, 2019",Puzzle,Top-down,Fixed / flip-screen,,"Cards / tiles, Tile matching puzzle",,,0,,,0,
Switch,Mahluk: Dark Demon,Dolores Entertainment S.L.,Redro Games,"Mar 25, 2021",Action,Side view,2D scrolling,,Platform,,,0,,,0,
Switch,Maiden & Spell,"Nippon Ichi Software, Inc.",mino_dev LLC,"Apr 08, 2021",Action,Side view,,Anime / Manga,"Arcade, Fighting, Shooter",,,0,,[82.0],1,82.0
Switch,Maid of Sker,Wales Interactive Ltd.,Wales Interactive Ltd.,"Nov 26, 2020",Action,1st-person,,,"Stealth, Survival horror",,,0,,,0,
Switch,Mail Mole,Undergames,Talpa Games,"Mar 04, 2021",Adventure,3rd-person (Other),Cinematic camera,,Platform,,,0,,"[60.0, 57.0]",2,58.5
Switch,Mainframe Defenders,Big Way LLC,"Synthetic Domain, LLC","Oct 22, 2021","Puzzle, Strategy",Top-down,Fixed / flip-screen,,Turn-based strategy,,,0,,,0,
Switch,Mainlining,Merge Games Ltd.,Rebelephant,"Jun 20, 2019","Adventure, Simulation","Side view, Top-down",,,,,,0,,[40.0],1,40.0
Switch,Maitetsu,CIRCLE Entertainment Ltd.,Lose,"Jan 16, 2020",Adventure,1st-person,,Anime / Manga,Visual novel,,,0,,,0,
Switch,Majokko Princess,"G-mode Co., Ltd.",,"Apr 15, 2021",Action,Side view,2D scrolling,Anime / Manga,"Platform, Puzzle elements",,,0,,,0,
